"greg",107
"greg",104
"greg",96
"nat",73
"nat",73
"greg",72
"dOUG",67
"gregamus",63
"nat",46
"nat",42
"greg",118
"greg",112
"nat",98
"greg",98
"Frozen Shade",89
"nat",79
"nat",66
"dOUG",47
"Doug",34
"Cinder Crawler",22
"greg",113
"nat",104
"nat",28
"greg",12
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"greg",112
"greg",78
"nat",31
"nat",21
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"nat",76
"greg",32
"nat",26
"duh",23
"greg",13
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"nat",98
"nat",55
"nat",42
"greg",32
"nat",25
"greg",23
"greg",22
"greg",15
"Mr. Nobody",0
"Mr. Nobody",0
"nat",91
"greg",84
"nat",46
"greg",41
"greg",34
"greg",17
"nat",14
"nat",8
"Mr. Nobody",0
"Mr. Nobody",0
"greg",87
"nat",11
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"greg",72
"nat",11
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"greg",79
"nat",12
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
"Mr. Nobody",0
